region_cluster_id	n_raw_intervals	n_member_intervals	n_transcripts	n_genes	n_gene_symbols	total_member_bp	mean_member_len	median_member_len	min_member_len	max_member_len	representative_transcript_id	representative_gene_id	representative_transcript_name	representative_gene_symbol	representative_transcript_length	representative_start	representative_end	representative_region_len	top_gene_symbols	source_n_member_intervals	source_n_transcripts	source_n_genes	source_total_member_bp	representative_transcript_header
SR0002325	4	3	3	2	2	337	112.33	109.00	109	119	ENST00000586922.2	ENSG00000268573.1	ENST00000586922	ENSG00000268573	4382	2552	2670	119	ENSG00000227240:2;ENSG00000268573:1	3	3	2	337	ENST00000586922.2|ENSG00000268573.1|OTTHUMG00000182438.1|OTTHUMT00000461209.1|ENST00000586922|ENSG00000268573|4382|
SR0002326	8	3	3	2	2	315	105.00	117.00	81	117	ENST00000693715.1	ENSG00000293322.2	ENST00000693715	ENSG00000293322	2409	766	882	117	ENSG00000293322:2;ENSG00000298790:1	3	3	2	315	ENST00000693715.1|ENSG00000293322.2|-|-|ENST00000693715|ENSG00000293322|2409|
SR0002327	4	3	3	2	2	281	93.67	94.00	93	94	ENST00000554898.1	ENSG00000258957.3	GALNT16-AS1-201	GALNT16-AS1	1826	972	1065	94	GALNT16-AS1:2;SLC12A2-DT:1	3	3	2	281	ENST00000554898.1|ENSG00000258957.3|OTTHUMG00000171321.2|OTTHUMT00000412985.1|GALNT16-AS1-201|GALNT16-AS1|1826|
SR0002328	4	3	3	2	2	346	115.33	116.00	114	116	ENST00000752358.1	ENSG00000188511.15	MIR3667HG-218	MIR3667HG	1115	634	749	116	MIR3667HG:2;AHI1-DT:1	3	3	2	346	ENST00000752358.1|ENSG00000188511.15|OTTHUMG00000030424.4|-|MIR3667HG-218|MIR3667HG|1115|
SR0002329	8	3	3	2	2	1104	368.00	373.00	358	373	ENST00000741206.1	ENSG00000296694.1	ENST00000741206	ENSG00000296694	893	500	872	373	ENSG00000296694:2;ENSG00000290999:1	3	3	2	1104	ENST00000741206.1|ENSG00000296694.1|-|-|ENST00000741206|ENSG00000296694|893|
SR0002330	8	3	3	2	2	799	266.33	316.00	167	316	ENST00000810786.1	ENSG00000305401.1	ENST00000810786	ENSG00000305401	595	1	316	316	ENSG00000305401:2;ENSG00000305422:1	3	3	2	799	ENST00000810786.1|ENSG00000305401.1|-|-|ENST00000810786|ENSG00000305401|595|
SR0002331	8	3	3	2	2	683	227.67	262.00	159	262	ENST00000664539.1	ENSG00000231364.4	LINC01712-203	LINC01712	1373	988	1249	262	LINC01712:2;LINC01725:1	3	3	2	683	ENST00000664539.1|ENSG00000231364.4|OTTHUMG00000009772.5|OTTHUMT00000525804.1|LINC01712-203|LINC01712|1373|
SR0002332	4	3	3	2	2	293	97.67	98.00	97	98	ENST00000624952.1	ENSG00000279296.1	PRAL-201	PRAL	3286	1	98	98	ENSG00000305079:2;PRAL:1	3	3	2	293	ENST00000624952.1|ENSG00000279296.1|OTTHUMG00000177909.1|OTTHUMT00000439663.1|PRAL-201|PRAL|3286|
SR0002333	8	3	3	2	2	378	126.00	126.00	126	126	ENST00000581911.1	ENSG00000266765.1	ENST00000581911	ENSG00000266765	419	1	126	126	ENSG00000295102:2;ENSG00000266765:1	3	3	2	378	ENST00000581911.1|ENSG00000266765.1|OTTHUMG00000178575.1|OTTHUMT00000442528.1|ENST00000581911|ENSG00000266765|419|
SR0002334	8	3	3	2	2	449	149.67	178.00	92	179	ENST00000755059.1	ENSG00000298351.1	ENST00000755059	ENSG00000298351	3209	1056	1234	179	ENSG00000298366:2;ENSG00000298351:1	3	3	2	449	ENST00000755059.1|ENSG00000298351.1|-|-|ENST00000755059|ENSG00000298351|3209|
SR0002335	8	3	3	2	2	382	127.33	139.00	104	139	ENST00000457402.2	ENSG00000235407.2	CYMP-AS1-201	CYMP-AS1	2374	10	148	139	ENSG00000283999:2;CYMP-AS1:1	3	3	2	382	ENST00000457402.2|ENSG00000235407.2|OTTHUMG00000022783.2|OTTHUMT00000059079.2|CYMP-AS1-201|CYMP-AS1|2374|
SR0002336	8	3	3	2	2	470	156.67	159.00	152	159	ENST00000508517.2	ENSG00000249249.3	TICAM2-AS1-202	TICAM2-AS1	4277	3699	3857	159	TICAM2-AS1:2;ENSG00000274191:1	3	3	2	470	ENST00000508517.2|ENSG00000249249.3|OTTHUMG00000155201.3|OTTHUMT00000371006.2|TICAM2-AS1-202|TICAM2-AS1|4277|
SR0002337	12	3	3	3	3	714	238.00	245.00	224	245	ENST00000562354.2	ENSG00000290927.2	ENST00000562354	ENSG00000290927	4117	3871	4115	245	ENSG00000290927:1;ENSG00000261731:1;ENSG00000305327:1	3	3	3	714	ENST00000562354.2|ENSG00000290927.2|-|OTTHUMT00000432910.2|ENST00000562354|ENSG00000290927|4117|
SR0002338	8	3	3	2	2	258	86.00	86.00	86	86	ENST00000424868.2	ENSG00000293489.2	CMAHP-204	CMAHP	1327	1072	1157	86	CMAHP:2;ENSG00000285801:1	3	3	2	258	ENST00000424868.2|ENSG00000293489.2|-|OTTHUMT00000495232.1|CMAHP-204|CMAHP|1327|
SR0002339	8	3	3	2	2	785	261.67	321.00	143	321	ENST00000661383.1	ENSG00000248505.3	LINC02380-203	LINC02380	1475	447	767	321	LINC02380:2;ENSG00000303008:1	3	3	2	785	ENST00000661383.1|ENSG00000248505.3|OTTHUMG00000160663.9|OTTHUMT00000514404.1|LINC02380-203|LINC02380|1475|
SR0002340	8	3	3	2	2	1217	405.67	484.00	238	495	ENST00000490441.1	ENSG00000243701.9	DUBR-204	DUBR	1149	655	1149	495	DUBR:2;ENSG00000293178:1	3	3	2	1217	ENST00000490441.1|ENSG00000243701.9|OTTHUMG00000159173.27|OTTHUMT00000353691.1|DUBR-204|DUBR|1149|
SR0002341	8	3	3	2	2	336	112.00	112.00	112	112	ENST00000843755.1	ENSG00000249833.8	CFAP100-DT-208	CFAP100-DT	1020	434	545	112	CFAP100-DT:2;ENSG00000309785:1	3	3	2	336	ENST00000843755.1|ENSG00000249833.8|OTTHUMG00000162688.7|-|CFAP100-DT-208|CFAP100-DT|1020|
SR0002342	6	3	3	3	3	531	177.00	167.00	159	205	ENST00000623126.1	ENSG00000279174.1	ENST00000623126	ENSG00000279174	3052	1614	1818	205	ENSG00000279174:1;ENSG00000291249:1;ENSG00000299408:1	3	3	3	531	ENST00000623126.1|ENSG00000279174.1|OTTHUMG00000178227.1|OTTHUMT00000441044.1|ENST00000623126|ENSG00000279174|3052|
SR0002343	8	3	3	3	3	2896	965.33	1370.00	84	1442	ENST00000728454.1	ENSG00000295170.1	ENST00000728454	ENSG00000295170	1501	1	1442	1442	LINC02148:1;ENSG00000295170:1;ENSG00000295191:1	3	3	3	2896	ENST00000728454.1|ENSG00000295170.1|-|-|ENST00000728454|ENSG00000295170|1501|
SR0002344	6	3	3	2	2	547	182.33	182.00	182	183	ENST00000553105.2	ENSG00000257176.4	ENST00000553105	ENSG00000257176	2396	1101	1283	183	ENSG00000257176:2;FAR2P2:1	3	3	2	547	ENST00000553105.2|ENSG00000257176.4|OTTHUMG00000169321.3|OTTHUMT00000403488.1|ENST00000553105|ENSG00000257176|2396|
SR0002345	8	3	3	2	2	378	126.00	126.00	126	126	ENST00000589125.5	ENSG00000267013.7	LINC01929-201	LINC01929	3067	1580	1705	126	LINC01929:2;ENSG00000300819:1	3	3	2	378	ENST00000589125.5|ENSG00000267013.7|OTTHUMG00000176191.4|OTTHUMT00000431614.1|LINC01929-201|LINC01929|3067|
SR0002346	8	3	3	2	2	432	144.00	149.00	134	149	ENST00000668747.1	ENSG00000237222.5	LINC01968-231	LINC01968	1563	1070	1218	149	LINC01972:2;LINC01968:1	3	3	2	432	ENST00000668747.1|ENSG00000237222.5|OTTHUMG00000156019.9|OTTHUMT00000521813.1|LINC01968-231|LINC01968|1563|
SR0002347	8	3	3	2	2	525	175.00	175.00	175	175	ENST00000515392.1	ENSG00000250781.3	ENST00000515392	ENSG00000250781	478	84	258	175	ENSG00000299873:2;ENSG00000250781:1	3	3	2	525	ENST00000515392.1|ENSG00000250781.3|OTTHUMG00000161041.2|OTTHUMT00000363526.1|ENST00000515392|ENSG00000250781|478|
SR0002348	8	3	3	2	2	555	185.00	185.00	185	185	ENST00000533941.2	ENSG00000250041.4	ENST00000533941	ENSG00000250041	1278	431	615	185	ENSG00000250041:2;ZBED5-AS1:1	3	3	2	555	ENST00000533941.2|ENSG00000250041.4|OTTHUMG00000165889.3|OTTHUMT00000386902.1|ENST00000533941|ENSG00000250041|1278|
SR0002349	8	3	3	2	2	1909	636.33	876.00	157	876	ENST00000648645.1	ENSG00000259110.2	LINC02304-202	LINC02304	1320	445	1320	876	LINC02304:2;ENSG00000294908:1	3	3	2	1909	ENST00000648645.1|ENSG00000259110.2|OTTHUMG00000171464.1|OTTHUMT00000499151.1|LINC02304-202|LINC02304|1320|
SR0002350	8	3	3	2	2	348	116.00	116.00	116	116	ENST00000821156.1	ENSG00000306791.1	ENST00000821156	ENSG00000306791	671	244	359	116	ENSG00000306831:2;ENSG00000306791:1	3	3	2	348	ENST00000821156.1|ENSG00000306791.1|-|-|ENST00000821156|ENSG00000306791|671|
SR0002351	8	3	3	2	2	1101	367.00	411.00	279	411	ENST00000655081.2	ENSG00000223993.3	LINC02647-202	LINC02647	829	401	811	411	LINC02647:2;ENSG00000299788:1	3	3	2	1101	ENST00000655081.2|ENSG00000223993.3|OTTHUMG00000018645.5|OTTHUMT00000514818.1|LINC02647-202|LINC02647|829|
SR0002352	8	3	3	2	2	735	245.00	257.00	221	257	ENST00000605260.1	ENSG00000225361.5	PPP1R26-AS1-204	PPP1R26-AS1	414	44	300	257	ENSG00000299651:2;PPP1R26-AS1:1	3	3	2	735	ENST00000605260.1|ENSG00000225361.5|OTTHUMG00000020905.4|OTTHUMT00000468387.1|PPP1R26-AS1-204|PPP1R26-AS1|414|
SR0002353	8	3	3	2	2	435	145.00	151.00	133	151	ENST00000653994.1	ENSG00000232973.15	CYP1B1-AS1-237	CYP1B1-AS1	2596	1182	1332	151	CYP1B1-AS1:2;ENSG00000227292:1	3	3	2	435	ENST00000653994.1|ENSG00000232973.15|OTTHUMG00000128569.16|OTTHUMT00000528652.1|CYP1B1-AS1-237|CYP1B1-AS1|2596|
SR0002354	8	3	3	2	2	477	159.00	159.00	159	159	ENST00000738044.1	ENSG00000296307.1	ENST00000738044	ENSG00000296307	1276	404	562	159	ENSG00000296307:2;ENSG00000296326:1	3	3	2	477	ENST00000738044.1|ENSG00000296307.1|-|-|ENST00000738044|ENSG00000296307|1276|
SR0002355	8	3	3	2	2	331	110.33	124.00	83	124	ENST00000796748.1	ENSG00000224132.3	ENST00000796748	ENSG00000224132	1356	659	782	124	ENSG00000303771:2;ENSG00000224132:1	3	3	2	331	ENST00000796748.1|ENSG00000224132.3|OTTHUMG00000153019.3|-|ENST00000796748|ENSG00000224132|1356|
SR0002356	8	3	3	2	2	903	301.00	310.00	283	310	ENST00000785362.1	ENSG00000237125.14	HAND2-AS1-371	HAND2-AS1	533	1	310	310	HAND2-AS1:2;ENSG00000302373:1	3	3	2	903	ENST00000785362.1|ENSG00000237125.14|OTTHUMG00000160783.9|-|HAND2-AS1-371|HAND2-AS1|533|
SR0002357	8	3	3	2	2	686	228.67	254.00	177	255	ENST00000561122.1	ENSG00000285331.2	TCF12-DT-203	TCF12-DT	3017	1256	1510	255	LINC03065:2;TCF12-DT:1	3	3	2	686	ENST00000561122.1|ENSG00000285331.2|OTTHUMG00000192444.2|OTTHUMT00000494150.1|TCF12-DT-203|TCF12-DT|3017|
SR0002358	8	3	3	2	2	846	282.00	300.00	241	305	ENST00000810669.1	ENSG00000305377.1	ENST00000810669	ENSG00000305377	1592	820	1124	305	LINC00226:2;ENSG00000305377:1	3	3	2	846	ENST00000810669.1|ENSG00000305377.1|-|-|ENST00000810669|ENSG00000305377|1592|
SR0002359	8	3	3	2	2	456	152.00	152.00	152	152	ENST00000804434.1	ENSG00000227252.3	COPS8-DT-213	COPS8-DT	1263	1	152	152	ENSG00000304616:2;COPS8-DT:1	3	3	2	456	ENST00000804434.1|ENSG00000227252.3|OTTHUMG00000153027.2|-|COPS8-DT-213|COPS8-DT|1263|
SR0002360	12	3	3	3	3	1747	582.33	769.00	203	775	ENST00000786474.1	ENSG00000214772.3	GUCY2C-AS1-203	GUCY2C-AS1	1220	313	1087	775	WBP11P1:1;ENSG00000299921:1;GUCY2C-AS1:1	3	3	3	1747	ENST00000786474.1|ENSG00000214772.3|OTTHUMG00000168734.1|-|GUCY2C-AS1-203|GUCY2C-AS1|1220|
SR0002361	8	3	3	2	2	1437	479.00	479.00	479	479	ENST00000622628.2	ENSG00000275457.2	ENST00000622628	ENSG00000275457	983	491	969	479	ENSG00000275457:2;ENSG00000297772:1	3	3	2	1437	ENST00000622628.2|ENSG00000275457.2|OTTHUMG00000186716.1|OTTHUMT00000473664.1|ENST00000622628|ENSG00000275457|983|
SR0002362	8	3	3	2	2	724	241.33	242.00	239	243	ENST00000639766.1	ENSG00000283828.1	F10-AS2-201	F10-AS2	2238	136	378	243	ENSG00000302668:2;F10-AS2:1	3	3	2	724	ENST00000639766.1|ENSG00000283828.1|OTTHUMG00000191998.1|OTTHUMT00000491899.1|F10-AS2-201|F10-AS2|2238|
SR0002363	8	3	3	2	2	348	116.00	116.00	116	116	ENST00000757512.1	ENSG00000298705.1	ENST00000757512	ENSG00000298705	569	256	371	116	ENSG00000298705:2;ENSG00000298724:1	3	3	2	348	ENST00000757512.1|ENSG00000298705.1|-|-|ENST00000757512|ENSG00000298705|569|
SR0002364	8	3	3	2	2	548	182.67	183.00	182	183	ENST00000756403.1	ENSG00000227244.4	LINC00845-208	LINC00845	370	71	253	183	LINC00845:2;ENSG00000298582:1	3	3	2	548	ENST00000756403.1|ENSG00000227244.4|OTTHUMG00000018291.1|-|LINC00845-208|LINC00845|370|
SR0002365	8	3	3	2	2	438	146.00	146.00	146	146	ENST00000511395.2	ENSG00000248474.2	LINC02122-201	LINC02122	2364	702	847	146	LINC02122:2;ENSG00000304504:1	3	3	2	438	ENST00000511395.2|ENSG00000248474.2|OTTHUMG00000162456.1|OTTHUMT00000368993.1|LINC02122-201|LINC02122|2364|
SR0002366	8	3	3	2	2	535	178.33	184.00	167	184	ENST00000753131.1	ENSG00000231178.4	ENST00000753131	ENSG00000231178	724	325	508	184	ENSG00000231178:2;LINC02529:1	3	3	2	535	ENST00000753131.1|ENSG00000231178.4|OTTHUMG00000015930.5|-|ENST00000753131|ENSG00000231178|724|
SR0002367	8	3	3	2	2	812	270.67	350.00	112	350	ENST00000739647.1	ENSG00000296435.1	ENST00000739647	ENSG00000296435	661	230	579	350	ENSG00000296455:2;ENSG00000296435:1	3	3	2	812	ENST00000739647.1|ENSG00000296435.1|-|-|ENST00000739647|ENSG00000296435|661|
SR0002368	8	3	3	2	2	975	325.00	409.00	153	413	ENST00000802933.1	ENSG00000304372.1	ENST00000802933	ENSG00000304372	704	137	549	413	ENSG00000275630:2;ENSG00000304372:1	3	3	2	975	ENST00000802933.1|ENSG00000304372.1|-|-|ENST00000802933|ENSG00000304372|704|
SR0002369	8	3	3	2	2	1011	337.00	341.00	327	343	ENST00000749552.1	ENSG00000286596.2	ENST00000749552	ENSG00000286596	705	227	569	343	ENSG00000286596:2;ENSG00000288940:1	3	3	2	1011	ENST00000749552.1|ENSG00000286596.2|OTTHUMG00000193816.1|-|ENST00000749552|ENSG00000286596|705|
SR0002370	6	3	3	2	2	470	156.67	157.00	156	157	ENST00000414656.1	ENSG00000228544.1	CCDC183-AS1-201	CCDC183-AS1	2386	494	650	157	ENSG00000273066:2;CCDC183-AS1:1	3	3	2	470	ENST00000414656.1|ENSG00000228544.1|OTTHUMG00000020946.1|OTTHUMT00000055132.1|CCDC183-AS1-201|CCDC183-AS1|2386|
SR0002371	8	3	3	2	2	345	115.00	115.00	115	115	ENST00000667563.2	ENSG00000234962.7	LINC00700-209	LINC00700	990	778	892	115	LINC00700:2;ENSG00000299703:1	3	3	2	345	ENST00000667563.2|ENSG00000234962.7|OTTHUMG00000017547.12|OTTHUMT00000515180.1|LINC00700-209|LINC00700|990|
SR0002372	6	3	3	2	2	819	273.00	368.00	83	368	ENST00000417011.2	ENSG00000223711.3	ENST00000417011	ENSG00000223711	1405	308	675	368	ENSG00000223711:2;ENSG00000301793:1	3	3	2	819	ENST00000417011.2|ENSG00000223711.3|OTTHUMG00000155888.2|OTTHUMT00000342140.1|ENST00000417011|ENSG00000223711|1405|
SR0002373	8	3	3	2	2	1123	374.33	391.00	336	396	ENST00000378417.1	ENSG00000205037.3	ENST00000378417	ENSG00000205037	3468	1473	1868	396	ENSG00000260166:2;ENSG00000205037:1	3	3	2	1123	ENST00000378417.1|ENSG00000205037.3|OTTHUMG00000175541.1|OTTHUMT00000430445.1|ENST00000378417|ENSG00000205037|3468|
SR0002374	8	3	3	2	2	522	174.00	174.00	174	174	ENST00000822156.1	ENSG00000306951.1	ENST00000822156	ENSG00000306951	689	483	656	174	ENSG00000306951:2;EWSAT1:1	3	3	2	522	ENST00000822156.1|ENSG00000306951.1|-|-|ENST00000822156|ENSG00000306951|689|
SR0002375	8	3	3	2	2	382	127.33	137.00	86	159	ENST00000687383.2	ENSG00000259424.4	IRAIN-202	IRAIN	2710	203	361	159	ENSG00000278022:2;IRAIN:1	3	3	2	382	ENST00000687383.2|ENSG00000259424.4|OTTHUMG00000171862.1|-|IRAIN-202|IRAIN|2710|
SR0002376	8	3	3	3	3	483	161.00	174.00	80	229	ENST00000568092.1	ENSG00000261296.1	ENST00000568092	ENSG00000261296	3511	3159	3387	229	ENSG00000261296:1;ENSG00000264520:1;GARS1-DT:1	3	3	3	483	ENST00000568092.1|ENSG00000261296.1|OTTHUMG00000173105.2|OTTHUMT00000422150.1|ENST00000568092|ENSG00000261296|3511|
SR0002377	6	3	3	2	2	449	149.67	180.00	89	180	ENST00000797026.1	ENSG00000303760.1	ENST00000797026	ENSG00000303760	899	13	192	180	ENSG00000303760:2;ENSG00000303779:1	3	3	2	449	ENST00000797026.1|ENSG00000303760.1|-|-|ENST00000797026|ENSG00000303760|899|
SR0002378	8	3	3	2	2	876	292.00	293.00	290	293	ENST00000810802.1	ENSG00000305408.1	ENST00000810802	ENSG00000305408	482	190	482	293	ENSG00000305408:2;ENSG00000305428:1	3	3	2	876	ENST00000810802.1|ENSG00000305408.1|-|-|ENST00000810802|ENSG00000305408|482|
SR0002379	8	3	3	2	2	256	85.33	86.00	84	86	ENST00000791086.1	ENSG00000224374.2	ENST00000791086	ENSG00000224374	482	1	86	86	ENSG00000303034:2;ENSG00000224374:1	3	3	2	256	ENST00000791086.1|ENSG00000224374.2|OTTHUMG00000015628.1|-|ENST00000791086|ENSG00000224374|482|
SR0002380	8	3	3	2	2	534	178.00	179.00	176	179	ENST00000653945.1	ENSG00000250754.7	LINC02436-210	LINC02436	1402	1088	1266	179	ENSG00000307445:2;LINC02436:1	3	3	2	534	ENST00000653945.1|ENSG00000250754.7|OTTHUMG00000160487.65|OTTHUMT00000520295.1|LINC02436-210|LINC02436|1402|
SR0002381	8	3	3	2	2	301	100.33	101.00	99	101	ENST00000568966.2	ENSG00000260391.2	ENST00000568966	ENSG00000260391	2538	511	611	101	ENSG00000288713:2;ENSG00000260391:1	3	3	2	301	ENST00000568966.2|ENSG00000260391.2|OTTHUMG00000175759.2|OTTHUMT00000431038.2|ENST00000568966|ENSG00000260391|2538|
SR0002382	8	3	3	2	2	1414	471.33	553.00	308	553	ENST00000557646.1	ENSG00000258987.2	ENST00000557646	ENSG00000258987	553	1	553	553	ENSG00000258987:2;ENSG00000281498:1	3	3	2	1414	ENST00000557646.1|ENSG00000258987.2|OTTHUMG00000171299.2|OTTHUMT00000412854.1|ENST00000557646|ENSG00000258987|553|
SR0002383	8	3	3	2	2	789	263.00	263.00	263	263	ENST00000780352.1	ENSG00000285735.3	LINC02717-212	LINC02717	461	1	263	263	ENSG00000301659:2;LINC02717:1	3	3	2	789	ENST00000780352.1|ENSG00000285735.3|OTTHUMG00000192753.2|-|LINC02717-212|LINC02717|461|
SR0002384	4	3	3	2	2	420	140.00	145.00	130	145	ENST00000512693.1	ENSG00000249476.2	ENST00000512693	ENSG00000249476	5471	4224	4368	145	ENSG00000249476:2;ENSG00000294935:1	3	3	2	420	ENST00000512693.1|ENSG00000249476.2|OTTHUMG00000162848.2|OTTHUMT00000370753.1|ENST00000512693|ENSG00000249476|5471|
SR0002385	4	3	3	2	2	733	244.33	247.00	236	250	ENST00000623565.3	ENSG00000082929.9	LINC01587-204	LINC01587	873	88	337	250	LINC01587:2;ENSG00000236449:1	3	3	2	733	ENST00000623565.3|ENSG00000082929.9|OTTHUMG00000125492.3|OTTHUMT00000246818.1|LINC01587-204|LINC01587|873|
SR0002386	8	3	3	2	2	1354	451.33	535.00	284	535	ENST00000454752.3	ENSG00000224356.5	ENST00000454752	ENSG00000224356	2367	209	743	535	ENSG00000224356:2;ENSG00000280169:1	3	3	2	1354	ENST00000454752.3|ENSG00000224356.5|OTTHUMG00000017288.4|OTTHUMT00000045645.3|ENST00000454752|ENSG00000224356|2367|
SR0002387	8	3	3	2	2	1173	391.00	391.00	391	391	ENST00000431525.1	ENSG00000227139.1	ENST00000431525	ENSG00000227139	446	56	446	391	ENSG00000294222:2;ENSG00000227139:1	3	3	2	1173	ENST00000431525.1|ENSG00000227139.1|OTTHUMG00000042022.1|OTTHUMT00000100088.1|ENST00000431525|ENSG00000227139|446|
SR0002388	8	3	3	2	2	3291	1097.00	1097.00	1097	1097	ENST00000412134.6	ENSG00000231532.7	LINC01249-201	LINC01249	2952	916	2012	1097	LINC01249:2;ENSG00000291325:1	3	3	2	3291	ENST00000412134.6|ENSG00000231532.7|OTTHUMG00000151581.5|OTTHUMT00000323189.2|LINC01249-201|LINC01249|2952|
SR0002389	8	3	3	2	2	1374	458.00	617.00	140	617	ENST00000732841.1	ENSG00000176124.16	DLEU1-245	DLEU1	2133	1517	2133	617	DLEU1:2;ENSG00000295871:1	3	3	2	1374	ENST00000732841.1|ENSG00000176124.16|OTTHUMG00000192280.7|-|DLEU1-245|DLEU1|2133|
SR0002390	8	3	3	2	2	493	164.33	203.00	86	204	ENST00000456177.5	ENSG00000237914.5	SIRPG-AS1-202	SIRPG-AS1	2795	1	204	204	SIRPG-AS1:2;ENSG00000296776:1	3	3	2	493	ENST00000456177.5|ENSG00000237914.5|OTTHUMG00000031675.2|OTTHUMT00000251689.1|SIRPG-AS1-202|SIRPG-AS1|2795|
SR0002391	8	3	3	2	2	478	159.33	128.00	115	235	ENST00000785713.1	ENSG00000237166.5	LINC01792-217	LINC01792	1447	352	586	235	AOX3P-AOX2P:2;LINC01792:1	3	3	2	478	ENST00000785713.1|ENSG00000237166.5|OTTHUMG00000154537.7|-|LINC01792-217|LINC01792|1447|
SR0002392	8	3	3	2	2	774	258.00	258.00	258	258	ENST00000811397.1	ENSG00000305508.1	ENST00000811397	ENSG00000305508	1397	644	901	258	ENSG00000305508:2;ENSG00000305523:1	3	3	2	774	ENST00000811397.1|ENSG00000305508.1|-|-|ENST00000811397|ENSG00000305508|1397|
SR0002393	8	3	3	2	2	1406	468.67	609.00	187	610	ENST00000598994.3	ENSG00000168367.12	LINC00917-203	LINC00917	1796	782	1391	610	ENSG00000269826:2;LINC00917:1	3	3	2	1406	ENST00000598994.3|ENSG00000168367.12|OTTHUMG00000183867.14|OTTHUMT00000513849.1|LINC00917-203|LINC00917|1796|
SR0002394	8	3	3	2	2	691	230.33	236.00	219	236	ENST00000671182.1	ENSG00000228065.14	LINC01515-244	LINC01515	2317	668	903	236	ENSG00000305605:2;LINC01515:1	3	3	2	691	ENST00000671182.1|ENSG00000228065.14|OTTHUMG00000018330.34|OTTHUMT00000521924.1|LINC01515-244|LINC01515|2317|
SR0002395	12	3	3	3	3	2431	810.33	976.00	479	976	ENST00000655582.1	ENSG00000288058.1	ENST00000655582	ENSG00000288058	976	1	976	976	ENSG00000288058:1;ENSG00000286665:1;ENSG00000298208:1	3	3	3	2431	ENST00000655582.1|ENSG00000288058.1|-|-|ENST00000655582|ENSG00000288058|976|
SR0002396	8	3	3	2	2	471	157.00	178.00	115	178	ENST00000457402.2	ENSG00000235407.2	CYMP-AS1-201	CYMP-AS1	2374	2008	2185	178	ENSG00000283999:2;CYMP-AS1:1	3	3	2	471	ENST00000457402.2|ENSG00000235407.2|OTTHUMG00000022783.2|OTTHUMT00000059079.2|CYMP-AS1-201|CYMP-AS1|2374|
SR0002397	8	3	3	2	2	536	178.67	215.00	106	215	ENST00000802556.1	ENSG00000304323.1	ENST00000802556	ENSG00000304323	547	1	215	215	ENSG00000304323:2;ENSG00000304346:1	3	3	2	536	ENST00000802556.1|ENSG00000304323.1|-|-|ENST00000802556|ENSG00000304323|547|
SR0002398	8	3	3	2	2	336	112.00	112.00	112	112	ENST00000421703.5	ENSG00000232860.11	SMG7-AS1-201	SMG7-AS1	2220	1287	1398	112	SMG7-AS1:2;ENSG00000300706:1	3	3	2	336	ENST00000421703.5|ENSG00000232860.11|OTTHUMG00000035521.4|OTTHUMT00000086408.1|SMG7-AS1-201|SMG7-AS1|2220|
SR0002399	8	3	3	2	2	952	317.33	318.00	316	318	ENST00000665943.2	ENSG00000287324.2	ENST00000665943	ENSG00000287324	633	266	583	318	ENSG00000296514:2;ENSG00000287324:1	3	3	2	952	ENST00000665943.2|ENSG00000287324.2|OTTHUMG00000194769.1|OTTHUMT00000521757.1|ENST00000665943|ENSG00000287324|633|
SR0002400	4	3	3	2	2	266	88.67	89.00	88	89	ENST00000731509.1	ENSG00000295634.1	ENST00000731509	ENSG00000295634	558	198	286	89	ENSG00000295634:2;SOX2-OT:1	3	3	2	266	ENST00000731509.1|ENSG00000295634.1|-|-|ENST00000731509|ENSG00000295634|558|
SR0002401	8	3	3	2	2	351	117.00	117.00	117	117	ENST00000755722.1	ENSG00000298470.1	ENST00000755722	ENSG00000298470	654	66	182	117	ENSG00000298513:2;ENSG00000298470:1	3	3	2	351	ENST00000755722.1|ENSG00000298470.1|-|-|ENST00000755722|ENSG00000298470|654|
SR0002402	8	3	3	2	2	533	177.67	148.00	120	265	ENST00000769309.1	ENSG00000229209.2	ENST00000769309	ENSG00000229209	1531	1267	1531	265	ENSG00000300106:2;ENSG00000229209:1	3	3	2	533	ENST00000769309.1|ENSG00000229209.2|OTTHUMG00000153111.1|-|ENST00000769309|ENSG00000229209|1531|
SR0002403	4	3	3	2	2	236	78.67	79.00	78	79	ENST00000664459.1	ENSG00000230133.3	LINC01721-203	LINC01721	2930	62	140	79	LINC01721:2;ENSG00000286797:1	3	3	2	236	ENST00000664459.1|ENSG00000230133.3|OTTHUMG00000032098.3|OTTHUMT00000525003.1|LINC01721-203|LINC01721|2930|
SR0002404	8	3	3	2	2	324	108.00	108.00	108	108	ENST00000419650.1	ENSG00000232991.5	GACAT1-201	GACAT1	577	470	577	108	ENSG00000302978:2;GACAT1:1	3	3	2	324	ENST00000419650.1|ENSG00000232991.5|OTTHUMG00000153313.1|OTTHUMT00000330679.1|GACAT1-201|GACAT1|577|
SR0002405	8	3	3	2	2	417	139.00	139.00	139	139	ENST00000658565.1	ENSG00000287566.2	ENST00000658565	ENSG00000287566	4216	2265	2403	139	ENSG00000287566:2;ENSG00000300250:1	3	3	2	417	ENST00000658565.1|ENSG00000287566.2|OTTHUMG00000194793.1|OTTHUMT00000522067.1|ENST00000658565|ENSG00000287566|4216|
